time: 18.027756377319946, 62 - 72
time: 36.05551275463989, 0 - 230
time: 20.615528128088304, 34 - 44
time: 55.97086718741568, 63 - 73
time: 96.38467983890678, 68 - 78
time: 138.00745644059057, 153 - 163
time: 163.00745644059057, 172 - 182
time: 206.5484761030874, 0 - 230
time: 0.0, 0 - 230
time: 26.92582403567252, 97 - 107
time: 39.132379651406225, 50 - 60
time: 62.132379651406225, 61 - 71
time: 97.62747721937015, 99 - 109
time: 118.8078171068691, 0 - 230
time: 0.0, 0 - 230
time: 32.01562118716424, 32 - 42
time: 43.19596107466319, 75 - 85
time: 84.81873767634698, 81 - 91
time: 104.81873767634698, 87 - 97
time: 137.6660569939387, 161 - 171
time: 162.8976032056665, 0 - 230
time: 33.54101966249684, 67 - 77
time: 68.89635872182421, 97 - 107
time: 93.89635872182421, 116 - 126
time: 128.8963587218242, 149 - 159
time: 164.39145628978815, 159 - 169
time: 185.5717961772871, 0 - 230
time: 32.01562118716424, 76 - 86
time: 63.63839778884804, 157 - 167
time: 87.56678606603217, 95 - 105
time: 123.81559556284554, 124 - 134
time: 149.62698386368743, 126 - 136
